accession	species	gene	locality	specimen_voucher	isolate	paper_doi	notes
AB159096	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-9; 925bp
AB159097	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-10; 455bp
AB159098	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-11; 314bp
AB159099	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-12; 711bp
AB159100	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-13; 167bp
AB159101	sp.OR	microsatellite	Japan			Ohara et al. 2004 Mol.Ecol.Notes 4:449-451	マイクロサテライト座位 Rhi-14; 318bp
LC104339	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Isumi, Shiotagawa River	CBM:ZF:15982		Miya & Sado (未公刊)	MiFish参照配列; 1082bp; 採集2015-11-11
LC104714	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Umegase-keikoku	CBM:ZF:15831		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2015-10-24
LC458191	sp.OR	12S+tRNA-Val+16S	Japan: Ehime, Iyo, Uwa-gawa River	CBM:ZF:19340-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2018-08-30; 四国
LC708242	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, trib. Miyako-gawa River	CBM:ZF:22090		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2022-03-15
LC713501	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Wakaba, Kashima-gawa River	CBM:ZF:22167		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2022-04-29
LC713502	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Ichihara, trib. Murata-gawa River	CBM:ZF:22138		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2022-04-25
LC713503	sp.OR	12S+tRNA-Val+16S	Japan: Fukuoka, Itoshima, Zuibaiji-gawa River	CBM:ZF:19455-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2017-09-20; 九州
LC713504	sp.OR	12S+tRNA-Val+16S	Japan: Fukuoka, Itoshima, Zuibaiji-gawa River	CBM:ZF:19456-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2017-09-20; 九州
LC713505	sp.OR	12S+tRNA-Val+16S	Japan: Fukuoka, Itoshima, Raizan-gawa River	CBM:ZF:19459-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2017-09-26; 九州
LC713506	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Isumi, Ogiwara, Kamioki-gawa River	CBM:ZF:20174		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2015-11-12
LC715467	sp.OR	12S+tRNA-Val+16S	Japan: Toyama, Joganji-gawa River	CBM:ZF:21074		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2021-03-11; 日本海側
LC719265	sp.OR	12S+tRNA-Val+16S	Japan: Tokushima, Naruto, Bando-kamohara	CBM:ZF:19274		Miya & Sado (未公刊)	MiFish参照配列; 1082bp; 採集2018-08-25; 四国
LC719266	sp.OR	12S+tRNA-Val+16S	Japan: Tokushima, Naruto, Bando-kamohara	CBM:ZF:19293		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2018-08-25; 四国
LC722577	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Ichihara, Anesaki, irrigation canal	CBM:ZF:22322		Miya & Sado (未公刊)	MiFish参照配列; 1082bp; 採集2022-06-27
LC722578	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Ichihara, Anesaki, Shiitsu-gawa River	CBM:ZF:22326		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2022-06-27
LC762645	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Kimitsu, trib. Sasa-gawa River	CBM:ZF:19754-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2017-07-28
LC834786	sp.OR	12S+tRNA-Val+16S	Japan: Chiba, Katori, Kozaki	CBM:ZF:23537-1		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2021-10-28
LC848703	sp.OR	12S+tRNA-Val+16S	Japan: Shimane, Gono-kawa River	CBM:ZF:22367		Miya & Sado (未公刊)	MiFish参照配列; 1083bp; 採集2022-06-03; 日本海側
LC742186	sp.OR	12S	Japan: Gifu		IDEA_Fish423	Nakamura et al. (未公刊)	eDNA魚類参照配列; 942bp; 採集2022-04-30
LC742231	sp.OR	12S	Japan: Niigata, Shinano River basin		IDEA_Fish474	Nakamura et al. (未公刊)	eDNA魚類参照配列; 947bp; 採集2022-08-14
LC911463	sp.?	16S	Japan: Kanagawa		KNG_KNG2024-Fish030	Hasebe & Takenaka (未公刊)	572bp; 採集2024-07-12; GenBank登録名は"Rhinogobius sp."でsp.ORの同定不確実
