specimen_id	taxon_genbank	taxon_current	morphotype	life_history	locality	prefecture	river_system	habitat_type	collection_date	specimen_voucher	body_size_mm	egg_size_mm	otolith_srca	sex	cited_in	figure_table	notes
RF-ME120905-1	Rhinogobius flumineus	R. flumineus			Japan: Mie, Nakamura River	Mie			2012-09-05	NSMT:P:120841					Yamasaki et al. 2015		
RF-NR120930-1	Rhinogobius flumineus	R. flumineus			Japan: Nara, Shingu River	Nara			2012-09-30	NSMT:P:120842					Yamasaki et al. 2015		
RF-OS110805-6	Rhinogobius flumineus	R. flumineus			Japan: Osaka, Yamanaka River	Osaka			2011-08-05	NSMT:P:120783					Yamasaki et al. 2015		
RF-SZ110911-28	Rhinogobius flumineus	R. flumineus			Japan: Shizuoka, Seto River	Shizuoka			2011-09-11	NSMT:P:120811					Yamasaki et al. 2015		
RF-YN120714-1	Rhinogobius flumineus	R. flumineus			Japan: Yamanashi, Fuefuki River	Yamanashi			2012-07-14	NSMT:P:120839					Yamasaki et al. 2015		
RG-CH990405-1	Rhinogobius similis	R. similis			China: Guangxi, Bei Lun He River	Guangxi			1999-04-05	NSMT:P:120837					Yamasaki et al. 2015		
RG-HY110809-18	Rhinogobius similis	R. similis			Japan: Hyogo, Satsu River	Hyogo			2011-08-09	NSMT:P:120785					Yamasaki et al. 2015		
RG-OK110924-19	Rhinogobius similis	R. similis			Japan: Okinawa, Okinawa Island, Aha River	Okinawa			2011-09-24	NSMT:P:120818					Yamasaki et al. 2015		
RG-OK110925-17	Rhinogobius similis	R. similis			Japan: Okinawa, Okinawa Island, Genka River	Okinawa			2011-09-25	NSMT:P:120819					Yamasaki et al. 2015		
TO-GF110820-1	Rhinogobius sp. TO	sp.TO			Japan: Gifu, Ogase Pond	Gifu			2011-08-20	NSMT:P:120800					Yamasaki et al. 2015		
TO-GF110820-2	Rhinogobius sp. TO	sp.TO			Japan: Gifu, Ogase Pond	Gifu			2011-08-20	NSMT:P:120801					Yamasaki et al. 2015		
TO-GF120415-7	Rhinogobius sp. TO	sp.TO			Japan: Gifu, Kandou Pond	Gifu			2012-04-15	NSMT:P:120832					Yamasaki et al. 2015		
YB-IR120328-3	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Okinawa Island, Urauchi River	Okinawa			2012-03-28						Yamasaki et al. 2015		
YB-IR120328-4	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Okinawa Island, Urauchi River	Okinawa			2012-03-28	NSMT:P:120829					Yamasaki et al. 2015		
YB-KR120624-1	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Iriomote Island, Kura River	Okinawa			2012-06-24						Yamasaki et al. 2015		
YB-OK111211-3	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Okinawa Island, Sukuta River	Okinawa			2011-12-11						Yamasaki et al. 2015		
YB-OK111211-4	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Okinawa Island, Sukuta River	Okinawa			2011-12-11						Yamasaki et al. 2015		
YB-PN120622-5	Rhinogobius sp. YB	sp.YB			Japan: Okinawa, Iriomote Island, Hinai River	Okinawa			2012-06-22						Yamasaki et al. 2015		
IDEA_Fish423	Rhinogobius sp. OR	sp.OR			Japan: Gifu	Gifu											eDNA魚類参照配列; 942bp; 採集2022-04-30
IDEA_Fish474	Rhinogobius sp. OR	sp.OR			Japan: Niigata, Shinano River basin	Niigata											eDNA魚類参照配列; 947bp; 採集2022-08-14
KNG_KNG2024-Fish030	Rhinogobius sp. OR	sp.?			Japan: Kanagawa	Kanagawa											572bp; 採集2024-07-12; GenBank登録名は"Rhinogobius sp."でsp.ORの同定不確実
MiFish-AB159088	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-1; 417bp
MiFish-AB159089	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-2; 213bp
MiFish-AB159090	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-3; 622bp
MiFish-AB159091	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-4; 496bp
MiFish-AB159092	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-5; 260bp
MiFish-AB159093	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-6; 495bp
MiFish-AB159094	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-7; 456bp
MiFish-AB159095	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-8; 621bp
MiFish-AB159096	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-9; 925bp
MiFish-AB159097	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-10; 455bp
MiFish-AB159098	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-11; 314bp
MiFish-AB159099	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-12; 711bp
MiFish-AB159100	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-13; 167bp
MiFish-AB159101	Rhinogobius sp. OR	sp.OR			Japan												マイクロサテライト座位 Rhi-14; 318bp
MiFish-LC092051	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Abiko, Tega-numa Pond	Chiba				CBM:ZF:15797					Miya & Sado (未公刊)		MiFish参照配列; 169bp; 手賀沼 = kurodaiタイプ産地周辺
MiFish-LC104339	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Isumi, Shiotagawa River	Chiba				CBM:ZF:15982					Miya & Sado (未公刊)		MiFish参照配列; 1082bp; 採集2015-11-11
